DATE,CUSR0000SEHA
2017-01-01,304.0346666666666667
2017-04-01,306.6976666666666667
2017-07-01,309.4813333333333333
2017-10-01,312.3623333333333333
2018-01-01,315.1926666666666667
2018-04-01,317.7776666666666667
2018-07-01,320.6883333333333333
2018-10-01,323.4960000000000000
2019-01-01,326.3626666666666667
2019-04-01,329.8090000000000000
2019-07-01,332.8706666666666667
2019-10-01,335.4530000000000000
2020-01-01,338.5280000000000000
2020-04-01,341.0006666666666667
2020-07-01,342.6143333333333333
2020-10-01,343.7296666666666667
2021-01-01,345.1146666666666667
2021-04-01,347.2893333333333333
2021-07-01,349.9893333333333333
2021-10-01,354.1436666666666667
2022-01-01,359.3556666666666667
2022-04-01,365.5880000000000000
2022-07-01,373.6183333333333333
2022-10-01,382.2286666666666667
2023-01-01,390.6693333333333333
2023-04-01,397.0183333333333333
2023-07-01,402.5150000000000000
